Participant,Music.country,Music,Participant.country,Pitch,Tempo,Solo.group,density.tempo,arousal.tempo,valence.tempo,emotion.tempo,colour.tempo,preference.tempo,density.pitch,arousal.pitch,valence.pitch,emotion.pitch,colour.pitch,preference.pitch
b,Iran,IS,Iran,low,low,Solo,4,3,1,6,1,5,5,4,3,8,9,5
c,Iran,IS,Iran,low,low,Solo,1,1,1,5,28,5,1,2,2,3,31,3
d,Iran,IS,Canada,low,low,Solo,1,1,2,7,37,3,1,2,3,8,25,4
e,Iran,IS,Canada,low,low,Solo,1,2,2,6,2,2,2,3,3,8,8,2
f,Iran,IS,Canada,low,low,Solo,2,1,2,7,27,2,3,2,2,6,23,3
g,Iran,IS,Japan,low,low,Solo,1,2,2,8,23,3,1,2,2,8,23,3
h,Iran,IS,Japan,low,low,Solo,4,3,3,8,26,3,4,2,3,7,14,2
i,Iran,IS,Japan,low,low,Solo,1,2,3,7,36,3,2,2,3,5,23,3
a,Japan,JS,Iran,low,low,Solo,1,1,3,8,13,3,1,1,3,8,18,4
b,Japan,JS,Iran,low,low,Solo,2,3,2,5,13,1,1,2,2,2,1,2
c,Japan,JS,Iran,low,low,Solo,2,1,3,5,18,3,1,1,4,8,34,3
d,Japan,JS,Canada,low,low,Solo,1,1,3,8,36,5,1,1,3,8,24,4
e,Japan,JS,Canada,low,low,Solo,1,2,2,7,2,2,2,1,3,7,13,2
f,Japan,JS,Canada,low,low,Solo,1,1,2,7,30,2,2,3,2,6,22,3
g,Japan,JS,Japan,low,low,Solo,1,2,2,5,28,4,1,2,2,5,28,4
h,Japan,JS,Japan,low,low,Solo,4,2,2,5,31,2,3,1,2,7,31,2
i,Japan,JS,Japan,low,low,Solo,1,2,3,8,18,4,1,1,3,5,31,4
a,Canada,CG,Iran,high,high,Group,5,5,5,1,17,4,5,4,4,1,17,4
b,Canada,CG,Iran,high,high,Group,3,2,1,1,14,3,2,2,2,2,1,1
c,Canada,CG,Iran,high,high,Group,4,4,4,2,17,5,4,5,5,5,16,5
d,Canada,CG,Canada,high,high,Group,4,5,4,2,11,3,4,3,5,1,11,3
e,Canada,CG,Canada,high,high,Group,3,3,3,1,22,4,3,3,3,7,22,4
f,Canada,CG,Canada,high,high,Group,3,5,5,1,38,5,4,4,4,1,5,4
g,Canada,CG,Japan,high,high,Group,4,4,4,1,5,4,3,3,3,1,5,4
h,Canada,CG,Japan,high,high,Group,4,4,4,1,4,3,3,4,5,1,5,4
i,Canada,CG,Japan,high,high,Group,5,5,3,1,34,3,3,3,4,1,32,4
a,Iran,IG,Iran,high,high,Group,3,5,5,2,19,3,5,5,4,2,4,4
b,Iran,IG,Iran,high,high,Group,4,5,5,2,4,5,4,5,5,5,21,5
c,Iran,IG,Iran,high,high,Group,5,5,4,3,21,2,4,4,2,3,22,3
d,Iran,IG,Canada,high,high,Group,5,5,3,2,5,2,4,5,4,2,5,3
e,Iran,IG,Canada,high,high,Group,4,5,4,2,21,4,4,5,4,2,5,4
f,Iran,IG,Canada,high,high,Group,5,3,3,2,21,3,5,5,1,4,28,2
g,Iran,IG,Japan,high,high,Group,5,4,4,1,4,5,4,4,4,1,4,5
h,Iran,IG,Japan,high,high,Group,4,5,5,2,4,4,5,4,4,2,11,4
i,Iran,IG,Japan,high,high,Group,5,5,4,3,5,2,4,4,4,2,3,3
a,Japan,JG,Iran,high,high,Group,5,5,4,2,4,2,5,3,2,4,7,2
b,Japan,JG,Iran,high,high,Group,1,2,2,1,3,1,1,1,1,5,3,1
c,Japan,JG,Iran,high,high,Group,5,5,5,2,3,5,5,5,4,2,5,3
d,Japan,JG,Canada,high,high,Group,4,4,4,2,3,3,3,3,3,2,6,3
e,Japan,JG,Canada,high,high,Group,4,4,4,2,4,4,3,4,4,2,5,3
f,Japan,JG,Canada,high,high,Group,4,4,4,2,17,4,4,4,4,1,20,3
g,Japan,JG,Japan,high,high,Group,5,4,4,2,4,4,4,4,4,2,5,4
h,Japan,JG,Japan,high,high,Group,4,4,5,1,5,4,3,4,5,1,5,4
i,Japan,JG,Japan,high,high,Group,5,5,4,2,4,3,3,4,3,2,21,3
a,Canada,CS,Iran,high,high,Solo,3,3,3,3,22,4,3,2,3,8,13,4
b,Canada,CS,Iran,high,high,Solo,3,2,4,8,1,4,1,2,1,5,1,1
c,Canada,CS,Iran,high,high,Solo,1,1,4,8,37,5,2,2,3,6,26,5
d,Canada,CS,Canada,high,high,Solo,1,2,4,6,27,5,1,2,3,6,30,4
e,Canada,CS,Canada,high,high,Solo,3,2,5,6,33,5,2,2,3,6,33,4
f,Canada,CS,Canada,high,high,Solo,2,2,3,8,35,3,3,1,3,8,34,4
g,Canada,CS,Japan,high,high,Solo,2,3,3,8,18,4,3,3,3,1,18,4
h,Canada,CS,Japan,high,high,Solo,3,2,3,8,8,4,4,2,4,8,5,4
i,Canada,CS,Japan,high,high,Solo,3,3,3,8,18,3,1,2,4,8,7,3
a,Iran,IS,Iran,high,high,Solo,2,3,2,7,28,4,2,3,2,6,23,2
b,Iran,IS,Iran,high,high,Solo,4,2,3,6,1,5,4,3,2,8,4,5
c,Iran,IS,Iran,high,high,Solo,1,2,3,5,22,3,2,2,2,5,13,2
d,Iran,IS,Canada,high,high,Solo,1,3,3,6,15,4,1,2,3,8,30,3
e,Iran,IS,Canada,high,high,Solo,2,2,3,5,21,2,2,3,3,5,8,3
f,Iran,IS,Canada,high,high,Solo,3,4,2,4,10,2,2,2,2,7,12,3
g,Iran,IS,Japan,high,high,Solo,2,3,3,8,8,3,1,3,3,8,8,3
h,Iran,IS,Japan,high,high,Solo,5,3,3,1,26,3,4,3,2,6,8,2
i,Iran,IS,Japan,high,high,Solo,2,2,2,7,9,4,3,3,3,6,33,3
a,Japan,JS,Iran,high,high,Solo,2,3,3,8,15,4,1,1,3,8,13,3
b,Japan,JS,Iran,high,high,Solo,1,2,2,6,28,2,2,2,2,5,21,1
c,Japan,JS,Iran,high,high,Solo,2,2,3,6,19,4,2,2,2,6,10,2
d,Japan,JS,Canada,high,high,Solo,1,1,2,8,25,2,1,1,3,6,36,4
e,Japan,JS,Canada,high,high,Solo,2,2,2,5,2,2,1,2,2,5,2,2
f,Japan,JS,Canada,high,high,Solo,1,1,4,7,34,3,1,1,4,8,8,3
g,Japan,JS,Japan,high,high,Solo,1,3,3,6,28,4,1,3,3,6,28,4
h,Japan,JS,Japan,high,high,Solo,4,1,2,6,13,2,3,2,3,8,8,3
i,Japan,JS,Japan,high,high,Solo,2,2,2,4,13,3,2,2,3,8,36,4
